Facility Type,OBJECTID,Name of Facility,Location Street,Location City,Location State,ZIP Code,Phone,Admin Name,Admin Phone,Facility Email,Fac. Cont. Email,License,Expiration,County / Ownership Type,Mailing Address,Mailing City,Mailing State,Mailing ZIP,Licensee,Alzheimer Care,Alzheimer Unit,NH Beds,Institutional NH Beds,Number of Licensed Beds,Medical Detox Beds,RTP Beds (PSAD),Social Detox Beds,x,y
Community Residential Care Facilities,12808,RESIDENCES AT GREER,715 S BUNCOMBE RD,GREER,SC,29650-2208,864-469-0409,"HICKS, KYLE L.",864-882-0783,KHICKS@THERESIDENCESOFSC.COM,KHICKS@MSA-CORP.COM,CRC-2146,11/30/2026,Greenville / Limited Liability,,,,,PHOENIX AT GREER LLC,Y,Y,,,110,,,,386569.154,3865458.053
Community Residential Care Facilities,12809,LAVENDER HILLS FORT MILL CAMPUS,1061 GOLD HILL RD,FORT MILL,SC,29708,803-548-3825,"MCALHANY, MAXINE J.",843-957-6593,ED@FORTMILL.CARE,SOUTHISLAND2003@GMAIL.COM,CRC-2147,10/31/2026,York / Limited Liability,,,,,PEARL AT FORT MILL LLC,Y,Y,,,54,,,,502739.202,3879831.262
Community Residential Care Facilities,12814,BROOKSTONE TERRACE OF WOODRUFF LLC,80 MEDICAL CENTER DR,WOODRUFF,SC,29388-8781,864-476-9100,"SHANK, AMIE",864-804-8103,AMIE@BSTFAMILY.COM,ADMINISTRATOR.GREER@ELITEHOMECARESC.COM,CRC-2151,04/30/2026,Spartanburg / Limited Liability,,,,,BROOKSTONE TERRACE OF WOODRUFF LLC,N,N,,,60,,,,406344.164,3845463.052
Community Residential Care Facilities,12819,MAGNOLIAS OF WALTERBORO,210 ACADEMY RD,WALTERBORO,SC,29488-9208,843-538-8181,"SMITH, KENDALL",,KENDALL@MAGNOLIASOFWALTERBORO.COM,,CRC-2153,04/30/2026,Colleton / Limited Liability,,,,,MAGNOLIAS OF WALTERBORO LLC,N,N,,,44,,,,531688.215,3644332.572
Community Residential Care Facilities,12839,RUBY DONALD RESIDENTIAL CARE,2 RUBY DONALD PL,GREENVILLE,SC,29617,864-203-7159,"MILLER, JACKIE",864-203-7159,0911BEAUTYJ@GMAIL.COM,,CRC-2156,01/31/2027,Greenville / Limited Liability,,,,,RUBY DONALD RESIDENTIAL CARE LLC,N,N,,,88,,,,366673.226,3864354.916
Community Residential Care Facilities,12873,ENGLISH MEADOWS - INDIAN LAND CAMPUS,2210 BELLE ST,INDIAN LAND,SC,29707,803-962-7141,"PICARD, JACKI",803-684-0183,JACKIPICARD@GMAIL.COM,,CRC-2162,06/30/2026,Lancaster / Limited Liability,,,,,RETREAT AT INDIAN LAND LLC,Y,Y,,,70,,,,513798.184,3867975.97
Community Residential Care Facilities,12902,MILLER PLACE RESIDENTIAL CARE,140 COX ST,SPARTANBURG,SC,29306-4807,864-573-7008,"MILLER, JACKIE",864-494-8693,0911BEAUTYJ@GMAIL.COM,,CRC-2166,02/28/2026,Spartanburg / Partnership,,,,,FRANK HENDERSON & EDWARD HARRISON,N,N,,,19,,,,415043.992,3864341.079
Community Residential Care Facilities,12909,LEMONAIDE HOUSE,1018 CRYSTAL CLEAR LN,HOPKINS,SC,29061-8237,803-467-8399,"ETHERIDGE, LULA B.",803-467-8399,LETHERIDGE947@GMAIL.COM,,CRC-2170,10/31/2026,Richland / Limited Liability,,,,,LEMONAIDE HOUSE LLC,N,N,,,15,,,,516290.034,3758808.872
Community Residential Care Facilities,12923,MILL CREEK MANOR,651 POLO RD,COLUMBIA,SC,29223-2905,803-790-9800,"JENKINS, ALESHIA",854-400-6644,YVETTE.PEARSON@MAINSTAYSENIORLIVING.COM,,CRC-2174,10/31/2026,Richland / Limited Liability,,,,,MAINSTAY HEALTHCARE MILL CREEK LLC,Y,Y,,,59,,,,509967.665,3772426.205
Community Residential Care Facilities,12924,RESTING PLACE 2,207 E SHOCKLEY FERRY RD,ANDERSON,SC,29624-3731,864-437-8327,"WINN, BARBARA W.",864-583-8818,0911BEAUTYJ@GMAIL.COM,,CRC-2176,10/31/2026,Anderson / Limited Liability,,,,,RESTING PLACE 2 LLC,N,N,,,10,,,,349027.628,3816751.087
Community Residential Care Facilities,12945,UNIQUE CARE ASSISTED LIVING FACILITY,17 EDWARD ST,SUMTER,SC,29150,803-316-2114,"MOORE, HARRIETT",803-847-4537,PATWALTERS166@GMAIL.COM,HMOORE.REFLECTIONSHCS@GMAIL.COM,CRC-2181,10/31/2026,Sumter / Limited Liability,,,,,UNIQUE CARE ASSISTED LIVING FACILITY LLC,Y,N,,,15,,,,559804.277,3753391.458
Community Residential Care Facilities,12966,MYRTLE BEACH MANOR RETIREMENT COMMUNITY,9547 HWY 17 N,MYRTLE BEACH,SC,29572-0000,843-449-5283,"SCHMEIZL, ELIZABETH",843-449-5283,BETH.SCHMEIZL@PHOENIXSRLIVING.COM,,CRC-2123,01/31/2026,Horry / Limited Liability,,,,,SNH SC TENANT LLC,Y,Y,,,111,,,,704304.913,3738569.799
Community Residential Care Facilities,12969,CARE WITH LOVE II,2109 COMMANDER RD,NORTH CHARLESTON,SC,29405-7704,843-718-3034,"FEILDS, HATTIE",843-425-4422,SHEILAPNELSON@GMAIL.COM,,CRC-2163,01/31/2026,Charleston / Sole Proprietorship,,,,,SHEILA NELSON,N,N,,,5,,,,595581.361,3635711.32
Community Residential Care Facilities,12978,ABOVE THE REST RESIDENTIAL CARE,2385 PAMPLICO HWY,FLORENCE,SC,29505,843-407-7809,"MINGUS, KATHY L.",843-260-0864,ATRFACILITY@YAHOO.COM,KATHY.MINGUS@YAHOO.COM,CRC-2187,10/31/2026,Florence / Limited Liability,,,,,ABOVE THE REST RESIDENTIAL CARE FACILITY LLC,N,N,,,44,,,,617393.24,3778823.82
Community Residential Care Facilities,13015,TERRABELLA SPARTANBURG,104 DILLON DR,SPARTANBURG,SC,29307-1018,864-948-9300,"KENNEDY, SHERRY SUE",,SKENNEDY@TERRABELLASENIORLIVING.COM,,CRC-2193,05/31/2026,Spartanburg / Limited Liability,,,,,SPARTANBURG AL/MC LLC,N,Y,,,55,,,,418508.735,3871279.146
Community Residential Care Facilities,13029,PLACE AT SHADOW OAKS,108 GREGG AVE,AIKEN,SC,29801-6816,803-643-0300,"BURTON, CARMELLA W.",803-643-0300,CARMELLABURTON@SHADOW-OAKS.COM,,CRC-2175,01/31/2026,Aiken / Limited Liability,,,,,PLACE AT SHADOW OAKS LLC,Y,Y,,,56,,,,429567.004,3714293.444
Community Residential Care Facilities,13060,WILLIAMS COMMUNITY CARE HOME,7705 RICHARD ST,COLUMBIA,SC,29209-3733,803-783-1223,"WILLIAMS, CHARLES A.",803-783-1223,CHAZWILLIAMSSR@GMAIL.COM,CHAZWILLIAMSSR@GMAIL.COM,CRC-2205,04/30/2026,Richland / Limited Liability,,,,,WILLIAMS COMMUNITY CARE HOME LLC,N,N,,,9,,,,504507.07,3756590.433
Community Residential Care Facilities,13061,PINES AT HILTON HEAD,35 BEACH CITY RD,HILTON HEAD ISLAND,SC,29926-4725,843-342-5599,"CAMPER-DILLITTLE, LAURA",843-342-5599,LAURA@PINESBLUFFTON.COM,,CRC-2206,05/31/2026,Beaufort / Limited Liability,,,,,PINES-HILTON HEAD LLC,Y,Y,,,72,,,,527119.362,3564959.554
Community Residential Care Facilities,13064,J J RESIDENTIAL CARE,748 GREEN ST,ORANGEBURG,SC,29115-4805,803-539-2604,"LEVINS, DEBORAH",803-539-2604,DEVORE.HOLDINGSLLC@GMAIL.COM,,CRC-2210,06/30/2026,Orangeburg / Sole Proprietorship,,,,,W DEVORE IRICK,N,N,,,10,,,,512237.914,3706396.384
Community Residential Care Facilities,13081,PINES AT COLUMBIA,190 MCSWAIN DR,WEST COLUMBIA,SC,29169-4825,803-936-0062,"SHULL, BRIAN D.",803-936-0062,BRIAN@PINESCOLUMBIA.COM,BSHULL@BROOKDALE.COM,CRC-2213,06/30/2026,Lexington / Limited Liability,,,,,PINES-COLUMBIA LLC,N,N,,,90,,,,489888.328,3763271.994
Community Residential Care Facilities,13092,MYRTLE BEACH GROVE SENIOR LIVING,3620 HAPPY WOODS CT,MYRTLE BEACH,SC,29588-2925,843-293-8888,"WILLIAMS, RAQUEL",843-293-0078,MYRTLEBEACHGROVE-ADM@SINCERISL.COM,,CRC-2215,09/30/2026,Horry / Limited Liability,,,,,SH1 HAPPY WOODS OPCO LLC,Y,Y,,,142,,,,688087.174,3727411.614
Community Residential Care Facilities,13093,SUMTER GROVE SENIOR LIVING,2500 LIN-DO CT,SUMTER,SC,29150-1832,803-469-4490,"BEAN, MELISSIA",803-469-4490,MELISSA.BEAN@SUMTERGROVESENIORLIVING.COM,,CRC-2216,09/30/2026,Sumter /,,,,,SH1 LINDO OPCO LLC,N,N,,,55,,,,555625.819,3757153.446
Community Residential Care Facilities,13094,LANCASTER GROVE SENIOR LIVING,1004 HARDIN ST,LANCASTER,SC,29720-1609,803-801-1288,"MCCLURKIN, JOYCE",803-801-1288,LANCASTERGROVE-ADM@SINCERISL.COM,,CRC-2218,09/30/2026,Lancaster /,,,,,SH1 HARDIN OPCO LLC,Y,Y,,,65,,,,519508.432,3844705.241
Community Residential Care Facilities,13097,FAIRFOREST GROVE SENIOR LIVING,120 FAIRFOREST RD,COLUMBIA,SC,29212-2308,803-781-2243,"BYRD, APRIL",803-615-5735,APRIL.BYRD@FAIRFORESTGROVESENIORLIVING.C,APRIL.BYRD@FAIRFORESTGROVESENIORLIVING.C,CRC-2220,09/30/2026,Richland / Limited Liability,,,,,SH1 FAIRFOREST OPCO LLC,Y,N,,,66,,,,486468.315,3770775.816
Community Residential Care Facilities,13098,SILVER BLUFF GROVE SENIOR LIVING,1385 SILVER BLUFF RD,AIKEN,SC,29803-8860,803-619-0045,"LARKE, ANGELA",803-619-0045,SILVERBLUFFGROVE-ADM@SINCERISL.COM,,CRC-2221,09/30/2026,Aiken / Limited Liability,,,,,SH1 SILVER BLUFF OPCO LLC,Y,Y,,,110,,,,431263.523,3707564.824
Community Residential Care Facilities,13100,KEMPTON OF CHARLESTON,194 SPRING ST,CHARLESTON,SC,29403,854-500-7778,"CARR, JOE",854-500-7778,JOCARR@LIBERTYSENIORLIVING.COM,,CRC-2222,03/31/2026,Charleston / Limited Liability,,,,,SPRING STREET SENIOR HOUSING OPCO LLC,Y,Y,,,89,,,,598123.331,3628287.685
Community Residential Care Facilities,13110,THORNE RETIREMENT HOME,702 W 3RD AVE,LAKE VIEW,SC,29563,843-759-9099,"SANDERSON, JAMES N.",843-759-9099,JAMESNEILSANDERSON@GMAIL.COM,JAMES@LAKEFIELDPROP.COM,CRC-2223,08/31/2026,Dillon / Limited Liability,,,,,JAGW LLC,N,N,,,76,,,,668009.406,3801810.82
Community Residential Care Facilities,13133,PEE DEE GARDENS,3117 W PALMETTO ST,FLORENCE,SC,29501,843-667-6699,"COOKE-EVANS, TONI E.",843-667-6699,DIRECTOR@FLORENCESENIORS.COM,TCOOKE-EVANS@DEPAUL.ORG,CRC-2224,11/30/2026,Florence / Limited Liability,,,,,FLORENCE OPCO LLC,Y,N,,,80,,,,606712.622,3781738.7
Community Residential Care Facilities,13134,BLAKE AT CARNES CROSSROADS,4015 2ND AVE,SUMMERVILLE,SC,29486,843-376-3996,"DRINKARD, CHRISTY",843-524-8911,CHRISTY.DRINKARD@QSLMSENIORLIVING.COM,,CRC-2226,09/30/2026,Berkeley / Limited Liability,,,,,WT TENANT OPCO LLC,Y,Y,,,114,,,,584030.161,3658301.374
Community Residential Care Facilities,13149,MAGNOLIAS OF EUTAWVILLE,12488 OLD NUMBER SIX HWY,EUTAWVILLE,SC,29048,803-492-3134,"LOCKWOOD, SCOTT",803-492-3134,SCOTT@MAGNOLIASOFSANTEE.COM,,CRC-2229,11/30/2026,Orangeburg / Limited Liability,,,,,MAGNOLIAS OF EUTAWVILLE LLC,N,N,,,53,,,,563229.051,3696038.293
Community Residential Care Facilities,13166,L AND C RESIDENTIAL CARE,1312 W EVANS ST,FLORENCE,SC,29501-3324,843-667-6636,"GOLDEN, IDA M.",843-669-9958,LHTIMMONSSR@ICLOUD.COM,,CRC-2232,08/31/2026,Florence / Sole Proprietorship,,,,,LARRY H TIMMONS,N,N,,,9,,,,611425.102,3784533.091
Community Residential Care Facilities,13168,LANDINGS OF GEORGETOWN,2563 N FRASER ST,GEORGETOWN,SC,29440,843-932-9040,"BRYANT, COLBY",843-345-3169,DIRECTOR@GEORGETOWNSENIORLIVING.COM,,CRC-2233,08/31/2026,Georgetown / Limited Liability,,,,,GEORGETOWN OPCO LLC,N,N,,,68,,,,659336.34,3698195.071
Community Residential Care Facilities,13174,TERRABELLA SUMMERVILLE,335 MIDLAND PKWY,SUMMERVILLE,SC,29485-8138,843-821-4122,PH#:,,CANICHOLS@TERRABELLASENIORLIVING.COM,,CRC-2235,12/31/2026,Dorchester / Limited Liability,,,,,SUMMERVILLE OPCO LLC,N,N,,,60,,,,579006.434,3647644.547
Community Residential Care Facilities,13176,TERRABELLA SUMMIT,414 SUMMIT DR,GREENVILLE,SC,29609-4821,864-271-7562,"URBANIC, JOHN AUSTIN",864-359-9477,JURBANIC@TERRABELLASENIORLIVING.COM,,CRC-2236,12/31/2026,Greenville / Limited Liability,,,,,GREENVILLE I OPCO LLC,Y,Y,,,65,,,,373594.142,3859967.14
Community Residential Care Facilities,13179,TERRABELLA MARCHBANKS,2203 MARCHBANKS AVE,ANDERSON,SC,29621-2247,864-231-7786,"DEATON, JOELY",864-244-9994,JDEATON@TERRABELLAMARCHBANKS.COM,JDEATON@BROOKDALE.COM,CRC-2237,12/31/2026,Anderson / Limited Liability,,,,,ANDERSON OPCO LLC,N,N,,,60,,,,350434.288,3821803.385
Community Residential Care Facilities,13188,BECKMAN I CRCF,611 BECKMAN RD,COLUMBIA,SC,29203-3282,803-754-4221,"TURNER, SUSAN P.",803-754-4221,S.TURNER@CHESCOSERVICES.ORG,S.TURNER@CHESCOSERVICES.ORG,CRC-2239,12/31/2026,Richland / Sole Proprietorship,,,,,CHESCO SERVICES,N,N,,,6,,,,500472.347,3771151.446
Community Residential Care Facilities,13195,M & M RESIDENTIAL CARE HOME,408 GENEVA AVE,MARION,SC,29571-4416,843-423-0120,"GORDAN, TEQUILA S.",843-309-4150,TGORDONJONES@BOP.GOV,,CRC-2241,02/28/2026,Marion / Limited Liability,,,,,SC RESIDENTIAL CARE LLC,N,N,,,5,,,,648287.891,3782560.228
Community Residential Care Facilities,13211,BROOKSTONE TERRACE OF SIMPSONVILLE,645 SCUFFLETOWN RD,SIMPSONVILLE,SC,29681,864-962-3038,"GROTE, EMILY K.",864-804-8103,EGROTE@BSTFAMILY.COM,,CRC-2242,02/28/2026,Greenville / Limited Liability,,,,,BROOKSTONE TERRACE OF SIMPSONVILLE LLC,N,N,,,64,,,,388785.341,3849896.5
Community Residential Care Facilities,13236,BECKMAN II CRCF,581 BECKMAN RD,COLUMBIA,SC,29203-3207,803-445-1695,"TURNER, SUSAN P.",803-754-4221,S.TURNER@CHESCOSERVICES.ORG,S.TURNER@CHESCOSERVICES.ORG,CRC-2244,12/31/2026,Richland / Sole Proprietorship,,,,,CHESCO SERVICES,N,N,,,6,,,,500579.309,3771226.106
Community Residential Care Facilities,13239,SUNNY PINES RESIDENTIAL CARE FACILITY LTD CO,108 GAPWAY RD,ANDREWS,SC,29510-6786,843-221-7436,"PAPILLION, GLORIA F.",843-221-7436,PAPION22@PEOPLEPC.COM,PAPION22@PEOPLEPC.COM,CRC-2246,05/31/2026,Williamsburg / Sole Proprietorship,,,,,SUNNY PINES RESIDENTIAL CARE FACILITY LTD CO,N,N,,,18,,,,632694.747,3703991.743
Community Residential Care Facilities,13254,DOMINION SENIOR LIVING AT PATRICK SQUARE,100 PERSHING AVE,CLEMSON,SC,29631,864-722-2811,"PEPPER, CHRISTOPHER C.",864-722-2811,CHRISP@DOMINIONSENIORLIVING.COM,CHRISP@DOMINIONANDERSON.COM,CRC-2248,03/31/2026,Pickens / Limited Liability,,,,,DOMINION OF CLEMSON OPCO LLC,Y,Y,,,78,,,,336392.949,3839386.655
Community Residential Care Facilities,13277,HELMS-GORDON RESIDENTIAL CARE HOME,714 FUNDERBURKE RD,FORT LAWN,SC,29714-8593,803-872-4253,"EXUM, BARBARA",843-293-8888,SOPRANO359@YAHOO.COM,,CRC-2251,07/31/2026,Chester / Limited Liability,,,,,HELMS GORDON LLC,N,N,,,32,,,,508103.297,3838563.902
Community Residential Care Facilities,13286,COVENANT PLACE,2825 CARTER RD,SUMTER,SC,29150-1736,803-469-7007,"SUMTER, PRINSCILLIA",803-469-7007,DIRECTOR@COVENANTPLACE.ORG,,CRC-2257,03/31/2026,Sumter /,,,,,SUMTER OPCO LLC,Y,Y,,,70,,,,554908.874,3757336.473
Community Residential Care Facilities,13294,HILLS OF CUMBERLAND VILLAGE,3215 WISE CREEK LN,AIKEN,SC,29801-2534,803-641-8444,"MURRAY, JOI",864-348-7433,JMURRAY@GOLDENBELLSENIORLIVING.COM,JBEE14@YAHOO.COM,CRC-2262,12/31/2026,Aiken / Limited Liability,,,,,CUMBERLAND VILLAGE-HILLS OPERATOR LLC,N,N,,,34,,,,428165.422,3713400.608
Community Residential Care Facilities,13298,MARSH AT CAROLINA PARK,3501 LIVELY LN,MOUNT PLEASANT,SC,29466,843-984-9050,"JUSTICE, AMEILIA",843-984-9050,AMY.JUSTICE@SSMGRP.COM,,CRC-2264,12/31/2025,Charleston / Limited Liability,,,,,MARSH AT CAROLINA PARK LLC,Y,Y,,,97,,,,614893.974,3639527.642
Community Residential Care Facilities,13303,HIGHLANDS SENIOR LIVING GASTON,3959 FISH HATCHERY RD,GASTON,SC,29053-9038,803-755-6541,"MIKA, KRISTIN",803-755-6541,KRISSY@HIGHLANDS.CARE,,CRC-2266,07/31/2026,Lexington / Limited Liability,,,,,KAYRAM ATLANTA LLC,N,N,,,92,,,,486214.151,3744613.583
Community Residential Care Facilities,13314,PINES AT GREENVILLE,20 HAWTHORNE PARK CT,GREENVILLE,SC,29615-3194,864-288-6775,"JACKSON, CARRIE",864-288-6775,ED@PINESGREENVILLE.COM,,CRC-2267,09/30/2026,Greenville / Limited Liability,,,,,SC SENIOR 3 LLC,N,N,,,68,,,,378344.319,3858774.248
Community Residential Care Facilities,13317,PATHS OF HOPE COMMUNITY RESIDENTIAL CARE,1004 RL COWARD RD,EASTOVER,SC,29044,803-776-4482,"BUSH, T'YREE",839-810-8841,PATHSOFHOPESC@GMAIL.COM,,CRC-2268,12/31/2025,Richland / Limited Liability,,,,,TY REE S BUSH,N,N,,,10,,,,519798.839,3755578.236
Community Residential Care Facilities,13324,ART OF LIVING CRCF,534 WIL STEL RD,COLUMBIA,SC,29210-3967,803-401-5733,"ROUSE, MATRICE",803-513-0821,CBURGESS@ARTOFLIVINGSC.COM,,CRC-2269,06/30/2026,Richland / Partnership,,,,,ART OF LIVING COMMUNITY & SUPPORT SERVICS LLC,N,N,,,40,,,,487611.973,3770225.825
Community Residential Care Facilities,13334,HARBORCHASE OF RIVERWALK,749 DUNKINS FERRY RD,ROCK HILL,SC,29730,803-393-2983,"WOOD, CHRYSTAL",803-325-1144,RIVERWALKED@HARBORCHASE.COM,CWOOD3@BROOKDALE.COM,CRC-2271,09/30/2026,York / Limited Liability,,,,,VOP HC RIVERWALK LLC,N,N,,,97,,,,502404.004,3870167.451
Community Residential Care Facilities,13351,LAUREL CREST,100 JOSEPH WALKER DR,WEST COLUMBIA,SC,29169-6939,803-796-0370,"ROWLETTE-CARTER, CESSANDRA",803-796-0370,JIM.DEEL@LAURELCREST.ORG,,CRC-2272,01/31/2026,Lexington / Non-Profit Corporation,,,,,PRESBYTERIAN COMMUNITIES OF SOUTH CAROLINA,Y,Y,,,26,,,,494070.711,3762540.533
Community Residential Care Facilities,13353,WESTSIDE RESIDENTIAL HOME,4112 HARTFORD ST,COLUMBIA,SC,29204-3025,803-786-7411,"MINGUS, KATHY L.",843-260-0864,KATHY.M@HIGHLANDS.CARE,KATHY.MINGUS@YAHOO.COM,CRC-2273,06/30/2026,Richland / Limited Liability,,,,,KAYRAM ATLANTA LLC,N,N,,,38,,,,500601.536,3767929.652
Community Residential Care Facilities,13366,CARE WITH LOVE,3408 LENAPE ST,NORTH CHARLESTON,SC,29405-7777,843-744-0313,"FEILDS, HATTIE",843-425-4422,SHEILAPNELSON@GMAIL.COM,,CRC-2164,01/31/2026,Charleston / Sole Proprietorship,,,,,SHEILA NELSON,N,N,,,5,,,,595682.076,3635664.031
Community Residential Care Facilities,13372,BISHOPVILLE MANOR,2779 HWY 15 N,BISHOPVILLE,SC,29010-7101,803-428-2222,TRACEY L COOPER,803-236-1415,BISHOPVILLEMANORRCF@GMAIL.COM,TRACEYLDUNN7@GMAIL.COM,CRC-2281,10/31/2026,Lee / Limited Liability,,,,,BISHOPVILLE MANOR MANAGEMENT GROUP LLC,N,N,,,44,,,,576319.08,3791186.351
Community Residential Care Facilities,13373,MARY RCF #3,10219 FARROW RD,BLYTHEWOOD,SC,29016-9612,803-556-9813,MARY BACOTE,803-556-9813,MBACOTE69@GMAIL.COM,M.BACOTE@HOTMAIL.COM,CRC-2282,12/31/2026,Richland / Sole Proprietorship,,,,,MARY BACOTE,N,N,,,10,,,,504204.213,3779194.093
Community Residential Care Facilities,13397,ROCK HILL GROVE SENIOR LIVING,1830 W MAIN ST,ROCK HILL,SC,29732-8965,803-980-4100,"ROBERTS HAHN, ELIZABETH",803-980-4100,LIBBY.HAHN@ROCKHILLGROVESENIORLIVING.COM,,CRC-2217,09/30/2026,York / Limited Liability,,,,,SH1 MAIN OPCO LLC,N,N,,,60,,,,494266.147,3866573.555
Community Residential Care Facilities,13421,BEVID PLACE,2902 E MAIN ST EXT,SPARTANBURG,SC,29307,864-579-0086,"FRYE, LORAN",864-288-3331,LORANFRYE@BEVIDPLACE.COM,,CRC-2294,02/28/2026,Spartanburg / Limited Liability,,,,,BEVID PLACE LLC,Y,Y,,,113,,,,421156.939,3871725.136
Community Residential Care Facilities,13427,PINES AT FLORENCE,3006 HOFFMEYER RD,FLORENCE,SC,29501-7551,843-292-0012,"ALVAREZ, MICHAEL",843-292-0012,MICHAEL@PINES-SENIORLIVING.COM,,CRC-2296,04/30/2026,Florence / Limited Liability,,,,,SC SENIOR 4 LLC,Y,Y,,,82,,,,607122.296,3785574.641
Community Residential Care Facilities,13432,MAGNOLIA BRIDGE AT MURRELLS INLET,1056 TPC BLVD,MURRELLS INLET,SC,29576,843-865-2493,"WEAVER, KATHERINE",843-865-2493,KATHERINE.WEAVER@MAGNOLIABRIDGEATMURRELL,,CRC-2297,05/31/2026,Horry / Limited Liability,,,,,BFG COMPASS MURRELLS INLET PROPCO LLC,Y,Y,,,82,,,,680365.334,3718115.366
Community Residential Care Facilities,13474,OAKS AT AIKEN,3400 WHISKEY RD,AIKEN,SC,29803,803-281-8600,"SANFORD, STACEY",843-770-0105,STACEY.SANFORD@OSLCARES.COM,,CRC-2301,12/31/2025,Aiken / Limited Liability,,,,,LOTUS PARK SENIOR LIVING-AIKEN LLC,Y,Y,,,81,,,,435273.719,3705348.837
Community Residential Care Facilities,13500,KEOWEE SQUARE,475 ROCHESTER HWY,SENECA,SC,29672,864-886-0070,"WEBB, HEATHER OWENS",864-886-0070,HEATHER.WEBB@NAVIONSL.COM,,CRC-2304,06/30/2026,Oconee / Limited Liability,,,,,SENECA AL LLC,N,N,,,50,,,,323466.754,3842620.504
Community Residential Care Facilities,13501,PINEWOOD SQUARE,101 CENTENNIAL BLVD,GOOSE CREEK,SC,29445-7079,843-569-2520,"SHEPHARD, HOPE M.",843-569-2520,HOPE.SHEPHERD@NAVIONSL.COM,,CRC-2306,06/30/2026,Berkeley / Limited Liability,,,,,GOOSE CREEK AL LLC,N,N,,,44,,,,587216.587,3653580.183
Community Residential Care Facilities,13502,MANNING SQUARE,10 COMPANION CT,GREER,SC,29651-1288,864-989-0707,"MURPHY-DAVIS, TYQUANNA",864-288-3271,QUANNA.DAVIS@NAVIONSL.COM,,CRC-2307,06/30/2026,Greenville / Limited Liability,,,,,GREER AL LLC,N,N,,,44,,,,387012.678,3868487.546
Community Residential Care Facilities,13503,LANGSTON SQUARE,939 SPRINGDALE DR,CLINTON,SC,29325-7266,864-833-0338,"MORGAN, MARY-ADDISON",864-833-0338,MARY.MORGAN@NAVIONSL.COM,,CRC-2308,06/30/2026,Laurens / Limited Liability,,,,,CLINTON AL LLC,N,N,,,44,,,,420304.984,3813268.16
Community Residential Care Facilities,13505,HELENA SQUARE,1624 PARIS AVE,PORT ROYAL,SC,29935-2041,843-982-0233,"FENNELL, ERIC",843-342-5599,ERIC.FENNELL@NAVIONSL.COM,,CRC-2309,06/30/2026,Beaufort / Limited Liability,,,,,PORT ROYAL AL LLC,N,N,,,44,,,,528952.839,3582822.903
Community Residential Care Facilities,13506,ASHLEY SQUARE,526 HALTIWANGER RD,GREENWOOD,SC,29649-1799,864-943-1933,"MOORE, BRENT",864-943-1933,BRENT.MOORE@NAVIONSL.COM,BMOORE@ENLIVANT.COM,CRC-2310,06/30/2026,Greenwood / Limited Liability,,,,,GREENWOOD AL LLC,N,N,,,44,,,,393098.874,3788642.537
Community Residential Care Facilities,13507,CYPRESS SQUARE,205 MIDLAND PKWY,SUMMERVILLE,SC,29485-8104,843-875-7163,"HOOLEY, JOHANNA",973-521-1268,JOHNNA.HOOLEY@NAVIONSL.COM,,CRC-2311,06/30/2026,Dorchester / Limited Liability,,,,,SUMMERVILLE AL LLC,N,N,,,44,,,,578343.879,3647837.455
Community Residential Care Facilities,13508,HAMMOND SQUARE,128 WALNUT LN,NORTH AUGUSTA,SC,29860-9206,803-441-8441,"SCIRCLE, RHETT M.",803-441-8441,RHETT.SCIRCLE@NAVIONSL.COM,,CRC-2312,06/30/2026,Aiken / Limited Liability,,,,,NORTH AUGUSTA AL LLC,N,N,,,44,,,,412391.649,3715147.205
Community Residential Care Facilities,13509,A'LELIA RESIDENTIAL CARE,10 JACOB WHITE RD,YEMASSEE,SC,29945-7820,843-466-0356,"BELL, TROY A.",843-744-1765,ALELIARESIDENTIAL@GMAIL.COM,BACHBELL25@GMAIL.COM,CRC-2313,01/31/2026,Beaufort / Limited Liability,,,,,ALELIA CARE MANAGEMENT GROUP LLC,N,N,,,20,,,,524825.413,3609064.486
Community Residential Care Facilities,13562,VICKERY PARKE,131 VICKERY DR,CENTRAL,SC,29630-8330,864-653-4674,"BRYANT, KELLY",864-638-5212,KELLY.BRYANT@VICKERYPARKEAL.COM,,CRC-2323,12/31/2025,Pickens / Limited Liability,,,,,VICKERY PARKE LLC,N,N,,,52,,,,336004.55,3841969.526
Community Residential Care Facilities,13563,SUMTER TERRACE,1180 WILSON HALL RD,SUMTER,SC,29150-1738,803-469-4908,"EVANS, TAYLOR",,TAYLOR.EVANS1@SUMTERTERRACEAL.COM,,CRC-2325,12/31/2025,Sumter / Limited Liability,,,,,SUMTER TERRACE LLC,N,N,,,52,,,,555343.475,3757174.735
Community Residential Care Facilities,13570,HIGHPOINT AT FORT MILL,5028 HOLLOWAY DR,FORT MILL,SC,29715,803-244-9115,"WALKER, LESLIE",803-244-9115,LWALKER@HIGHPOINTFORTMILL.COM,,CRC-2327,11/30/2026,York / Limited Liability,,,,,HC FORT MILL MANAGEMENT SC LLC,Y,Y,,,78,,,,505612.485,3880341.411
Community Residential Care Facilities,13594,FORD MANOR,7631 RITTER RD,WALTERBORO,SC,29488,843-893-2273,"BEATON, PATRICIA",843-866-3494,FORDMANOR@LOWCOUNTRY.COM,PATFORD@LOWCOUNTRY.COM,CRC-2247,09/30/2026,Colleton / Sole Proprietorship,,,,,PATRICIA BEATON,N,N,,,10,,,,536816.877,3631183.864
