License/Exemption Number,Facility/Camp Name,Facility/Camp License Type,Facility Address,City,County,Phone,Zip Code,Capacity
AS250398408,Heatherwoode,ADULT SMALL GROUP HOME (CAPACITY 1-6),"1115 Heatherwoode Rd ",Flint,GENESEE,(810) 877-6932,48532,6
AS730313489,Heaven Angels,ADULT SMALL GROUP HOME (CAPACITY 1-6),"2303 Kansas ",Saginaw,SAGINAW,(989) 714-5966,48601,6
AS820316694,Heavenly Comfort LLC,ADULT SMALL GROUP HOME (CAPACITY 1-6),"19103 Woodmont ",Harper Woods,WAYNE,(313) 307-0002,48225,4
AS630417850,Heavenly Comfort Southfield,ADULT SMALL GROUP HOME (CAPACITY 1-6),"19230 Silvercrest ",Southfield,OAKLAND,(313) 307-0002,48075,5
AS820379793,Heavenly Comfort Too  AFC,ADULT SMALL GROUP HOME (CAPACITY 1-6),"15255 Collingham Drive ",Detroit,WAYNE,(313) 434-5810,48205,6
AS820398123,Heavenly Comfort Woodmont 2,ADULT SMALL GROUP HOME (CAPACITY 1-6),"19113 Woodmont ",Harper Woods,WAYNE,(313) 307-0002,48225,4
AS820406532,Heavenly Comfort Woodmont 3,ADULT SMALL GROUP HOME (CAPACITY 1-6),"19330 Woodmont ",Harper Woods,WAYNE,(313) 307-0002,48225,4
AL260338397,Heavenly Homestead Adult Foster Care-South,ADULT LARGE GROUP HOME (CAPACITY 13-20),"2246 McClure Cemetery Rd. ",Gladwin,GLADWIN,(734) 427-4262,48624,20
AS820410381,Heavlin Home,ADULT SMALL GROUP HOME (CAPACITY 1-6),"39010 Chase Rd. ",Romulus,WAYNE,(734) 893-1094,48174,6
AS250395712,Hegel Home,ADULT SMALL GROUP HOME (CAPACITY 1-6),"5440 South Morrish Road ",Swartz Creek,GENESEE,(810) 701-0404,48473,6
AS540318155,Heights Manor,ADULT SMALL GROUP HOME (CAPACITY 1-6),"10255 Northland Drive ",Big Rapids,MECOSTA,(231) 629-1885,49307,6
AS820360940,Helen Gardens,ADULT SMALL GROUP HOME (CAPACITY 1-6),"4909 Helen ",Dearborn,WAYNE,(734) 657-5241,48126,6
AF030396753,Helping Hands,ADULT FAMILY HOME (CAPACITY 1-6),"1051 College Ave ",Holland,ALLEGAN,(616) 795-3598,49423,6
AS030411649,Helping Hands #2,ADULT SMALL GROUP HOME (CAPACITY 1-6),"1044 College Ave. ",Holland,ALLEGAN,(616) 795-3598,49423,6
AS210395636,Helping Hands AFC 1,ADULT SMALL GROUP HOME (CAPACITY 1-6),"5116 18th Rd ",Escanaba,DELTA,(906) 280-1844,49829,6
AM210401794,Helping Hands AFC 2,ADULT MEDIUM GROUP HOME (CAPACITY 7-12),"5116 18th Road ",Escanaba,DELTA,(906) 280-1844,49829,12
AM210413954,Helping Hands AFC 3,ADULT MEDIUM GROUP HOME (CAPACITY 7-12),"5116 18th Road ",Escanaba,DELTA,(906) 280-1844,49829,12
AS820296406,Helping Hands II,ADULT SMALL GROUP HOME (CAPACITY 1-6),"26609 Hopkins Street ",Inkster,WAYNE,(313) 278-5141,48141,6
AS820014388,Hemlock Street AFC,ADULT SMALL GROUP HOME (CAPACITY 1-6),"15562 Hemlock Street ",Detroit,WAYNE,(313) 837-3552,48211,6
AF750314462,Hena's AFC Home,ADULT FAMILY HOME (CAPACITY 1-6),"245 E. Michigan Avenue ",Three Rivers,ST. JOSEPH,(269) 858-3009,49093,6
AS250010823,Henderson AFC,ADULT SMALL GROUP HOME (CAPACITY 1-6),"4074 S. Henderson ",Davison,GENESEE,(810) 653-0641,48423,6
AF430091452,Hendrick AFC,ADULT FAMILY HOME (CAPACITY 1-6),"10121 S. Saddler Road ",Reed City,LAKE,(231) 832-1330,49677,6
AS580401443,Hendricks Home,ADULT SMALL GROUP HOME (CAPACITY 1-6),"1117 John L ",Monroe,MONROE,(734) 244-5309,48162,6
AS820091635,Henry Ruff Home,ADULT SMALL GROUP HOME (CAPACITY 1-6),"4495 Henry Ruff Road ",Inkster,WAYNE,(734) 728-3834,48141,6
AS820291395,Henry's Inc. Cherry Home,ADULT SMALL GROUP HOME (CAPACITY 1-6),"30511 Cherry ",Romulus,WAYNE,(313) 363-7018,48174,6
AS820311703,Henrys Inc. LaShae Home,ADULT SMALL GROUP HOME (CAPACITY 1-6),"19438 Beech Daly Road ",Redford,WAYNE,(313) 910-2951,48240,6
AS820273992,Henry's Inc. Paradise Home,ADULT SMALL GROUP HOME (CAPACITY 1-6),"30935 Pennylvania ",Romulus,WAYNE,(313) 363-7018,48174,6
AS820243816,Henrys Inc. Spring Arbor,ADULT SMALL GROUP HOME (CAPACITY 1-6),"30109 Spring Arbor ",Inkster,WAYNE,(734) 721-7164,48141,6
AM330378865,Heritage,ADULT MEDIUM GROUP HOME (CAPACITY 7-12),"4020 Aurelius Road ",Lansing,INGHAM,(517) 574-4336,48906,10
AF110320288,Heritage AFC Home,ADULT FAMILY HOME (CAPACITY 1-6),"8933 George Avenue ",Berrien Springs,BERRIEN,(269) 473-6006,49103,6
AM050339409,Heritage Haus,ADULT MEDIUM GROUP HOME (CAPACITY 7-12),"3230 S. M-88 Hwy ",Bellaire,ANTRIM,(231) 533-6869,49615,12
AH790297374,Heritage Hill Assisted Living,HOMES FOR THE AGED,"1430 Cleaver Rd. ",Caro,TUSCOLA,(989) 672-2900,48723,56
AF630395910,Heritage Hills Care,ADULT FAMILY HOME (CAPACITY 1-6),"2166 Kennedy Dr ",Rochester Hills,OAKLAND,(206) 432-1898,48309,6
AS390417769,Heritage homes afc,ADULT SMALL GROUP HOME (CAPACITY 1-6),"3324 Springfield Avenue ",Kalamazoo,KALAMAZOO,(269) 270-3764,49048,6
AM300008365,Heritage House AFC,ADULT MEDIUM GROUP HOME (CAPACITY 7-12),"121 West State Street ",Reading,HILLSDALE,(517) 283-3152,49274,12
AS380338047,Herkimer-Hayes,ADULT SMALL GROUP HOME (CAPACITY 1-6),"1612 Herkimer ",Jackson,JACKSON,(517) 250-7926,49203,6
AS380348376,Herkimer-Reagen,ADULT SMALL GROUP HOME (CAPACITY 1-6),"1616 Herkimer ",Jackson,JACKSON,(517) 250-7924,49203,3
AS030282002,Hernandez Home,ADULT SMALL GROUP HOME (CAPACITY 1-6),"94 - 45th Street ",Bloomingdale,ALLEGAN,(269) 521-6120,49026,6
AS250010882,Herrington House,ADULT SMALL GROUP HOME (CAPACITY 1-6),"12168 Lake Road ",Montrose,GENESEE,(810) 639-3388,48457,6
AF410418317,Heyboer AFC Home,ADULT FAMILY HOME (CAPACITY 1-6),"5119 Heyboer Ave SE ",Kentwood,KENT,(616) 633-4121,49548,5
AS700012873,HH - Magnolia AIS/MR,ADULT SMALL GROUP HOME (CAPACITY 1-6),"6983 Magnolia Drive ",Jenison,OTTAWA,(616) 669-0061,49428-8765,6
AM700009394,HH-Harrison Ave Group Home,ADULT MEDIUM GROUP HOME (CAPACITY 7-12),"342 Harrison Avenue ",Holland,OTTAWA,(616) 396-3657,49423,8
AS080419766,Hickory Cottage,ADULT SMALL GROUP HOME (CAPACITY 1-6),"1505 N. Church St. ",Hastings,BARRY,(517) 393-5203,49058,6
AS570399405,Hickory Hill AFC LLC,ADULT SMALL GROUP HOME (CAPACITY 1-6),"3909 S. McGee Road ",Lake City,MISSAUKEE,(231) 824-0052,49651,6
AS250418783,Hickory Hollow Specialized Residential,ADULT SMALL GROUP HOME (CAPACITY 1-6),"6500 Hickory Hollow Ct ",Flint,GENESEE,(810) 720-6424,48532,6
AS630406941,Hickory Ridge,ADULT SMALL GROUP HOME (CAPACITY 1-6),"1907 Hickory Ridge ",Milford,OAKLAND,(248) 684-2159,48380,6
AF830390262,Hidden Acres,ADULT FAMILY HOME (CAPACITY 1-6),"2801 S 29 Road ",Cadillac,WEXFORD,(231) 444-6049,49601,6
AM470295474,Hidden Creek AFC,ADULT MEDIUM GROUP HOME (CAPACITY 7-12),"2848 Hartland Rd. ",Hartland,LIVINGSTON,(810) 632-7670,48353,12
AS770354846,Hidden Estates Inc.,ADULT SMALL GROUP HOME (CAPACITY 1-6),"101 Lake Street ",Manistique,SCHOOLCRAFT,(906) 341-3003,49854,6
AL500415483,Hidden Harbors Center,ADULT LARGE GROUP HOME (CAPACITY 13-20),"31601 Harper Avenue ",Saint Clair Shores,MACOMB,(586) 859-7556,48082,18
AS500419000,Hidden Harbors- Share Street,ADULT SMALL GROUP HOME (CAPACITY 1-6),"22037 Share Street ",Saint Clair Shores,MACOMB,(586) 859-7556,48082,5
AS630015369,Hidden Lane Home,ADULT SMALL GROUP HOME (CAPACITY 1-6),"5710 Hidden Lane ",White Lake,OAKLAND,(248) 887-9863,48383,6
AS820338256,Hidden Treasure Residential Care,ADULT SMALL GROUP HOME (CAPACITY 1-6),"48880 Wear Rd ",Belleville,WAYNE,(734) 461-1968,48111,6
AS630260392,High Meadow CLF,ADULT SMALL GROUP HOME (CAPACITY 1-6),"29455 Highmeadow ",Farmington Hills,OAKLAND,(248) 842-2332,48334,5
AF520379592,High Street Assist Living,ADULT FAMILY HOME (CAPACITY 1-6),"606 E High Street ",Ishpeming,MARQUETTE,(906) 204-4378,49849,6
AS630078497,Highland,ADULT SMALL GROUP HOME (CAPACITY 1-6),"269 Highland Street ",Bloomfield Hills,OAKLAND,(248) 505-1987,48302,6
AS130254905,Highland AFC,ADULT SMALL GROUP HOME (CAPACITY 1-6),"1100 Highland Blvd, W ",Battle Creek,CALHOUN,(269) 579-3623,49015,4
AH380283614,Highland Home for the Aged,HOMES FOR THE AGED,"1948 Cooper Street ",Jackson,JACKSON,(517) 782-1900,49202,32
AS390314010,Hill an Brook AFC,ADULT SMALL GROUP HOME (CAPACITY 1-6),"2702 Hill an Brook Dr. ",Portage,KALAMAZOO,(269) 488-0977,49024,6
AF630079558,Hill Top House,ADULT FAMILY HOME (CAPACITY 1-6),"420 Hill Top ",White Lake,OAKLAND,(248) 252-4344,48386,3
AS520315852,Hillcrest,ADULT SMALL GROUP HOME (CAPACITY 1-6),"160 Hillcrest Street ",Ishpeming,MARQUETTE,(906) 204-2600,49849,6
AM280384609,Hillcrest AFC,ADULT MEDIUM GROUP HOME (CAPACITY 7-12),"7733 Kingsley Road ",Kingsley,GRAND TRAVERSE,(231) 263-7026,49649,12
AS820410890,Hillcrest Manor I,ADULT SMALL GROUP HOME (CAPACITY 1-6),"30507 5 Mile Road ",Livonia,WAYNE,(734) 743-8585,48154,6
AG820000046,Hillcrest Residence,ADULT CONGREGATE FACILITY (CAPACITY > 20),"2008 W. Grand Boulevard ",Detroit,WAYNE,(313) 898-3928,48208,35
AF380002732,Hiller Adult Foster Home,ADULT FAMILY HOME (CAPACITY 1-6),"823 Evanston Drive ",Jackson,JACKSON,(517) 784-7734,49202,6
AL600269136,Hillman's Haven,ADULT LARGE GROUP HOME (CAPACITY 13-20),"200 Elizabeth ",Hillman,MONTMORENCY,(989) 742-2699,49746,20
AS100339738,Hillside,ADULT SMALL GROUP HOME (CAPACITY 1-6),"7280 South Street ",Benzonia,BENZIE,(231) 882-7671,49616,6
AS800418389,Hillside AFC,ADULT SMALL GROUP HOME (CAPACITY 1-6),"55700 M-43 ",Bangor,VAN BUREN,(269) 628-2100,49013,6
AS130415037,Hillside Elder Care,ADULT SMALL GROUP HOME (CAPACITY 1-6),"150 Keystone Dr. ",Battle Creek,CALHOUN,(269) 986-3496,49015,6
AS630419542,Hillside Haven,ADULT SMALL GROUP HOME (CAPACITY 1-6),"8616 Hidden Acre Court ",Independence Twp.,OAKLAND,(810) 533-0392,48348,6
AF440299489,Hillside Manor,ADULT FAMILY HOME (CAPACITY 1-6),"6646 Brush Street ",North Branch,LAPEER,(810) 270-2424,48461,6
AH810262237,Hillside Terrace,HOMES FOR THE AGED,"1939 Jackson Avenue ",Ann Arbor,WASHTENAW,(734) 761-4451,48103,88
AH810399836,Hillside Terrace Memory Care,HOMES FOR THE AGED,"1937 Jackson Ave. ",Ann Arbor,WASHTENAW,(313) 815-5997,48103,24
AM130417481,Hilten Group Home,ADULT MEDIUM GROUP HOME (CAPACITY 7-12),"20544 McAllister Rd. ",Battle Creek,CALHOUN,(517) 348-9493,49016,12
AS330393478,His Able Hands,ADULT SMALL GROUP HOME (CAPACITY 1-6),"509 West Barnes Avenue ",Lansing,INGHAM,(404) 992-2222,48910,4
AS390299099,HNRS - Eastwood House,ADULT SMALL GROUP HOME (CAPACITY 1-6),"2236 Brook Drive ",Kalamazoo,KALAMAZOO,(269) 492-7205,49048,6
AS390295914,HNRS - Southwood House,ADULT SMALL GROUP HOME (CAPACITY 1-6),"925 Parker Ave. ",Kalamazoo,KALAMAZOO,(269) 492-7842,49008,6
AS410254891,HNRS Ada House,ADULT SMALL GROUP HOME (CAPACITY 1-6),"940 Clifford Avenue, SE ",Grand Rapids,KENT,(616) 940-8151,49546-2360,6
AL330417843,HNRS Cedarwood,ADULT LARGE GROUP HOME (CAPACITY 13-20),"2711 East Lansing Drive ",East Lansing,INGHAM,(517) 332-1616,48823,14
AM330417845,HNRS East Lansing House,ADULT MEDIUM GROUP HOME (CAPACITY 7-12),"2775 East Lansing Drive ",East Lansing,INGHAM,(517) 332-1616,48823,10
AS410298300,HNRS Forest Glen,ADULT SMALL GROUP HOME (CAPACITY 1-6),"4222 Burton St. SE ",Grand Rapids,KENT,(616) 643-3977,49546,6
AS410386927,HNRS Forest Glen II,ADULT SMALL GROUP HOME (CAPACITY 1-6),"4218 Burton St. SE ",Grand Rapids,KENT,(616) 940-0040,49546,6
AS410389238,HNRS Forest Glen III,ADULT SMALL GROUP HOME (CAPACITY 1-6),"4220 Burton St. SE ",Grand Rapids,KENT,(616) 606-2727,49546,6
AS410352086,HNRS Maryland House,ADULT SMALL GROUP HOME (CAPACITY 1-6),"891 Maryland ",Grand Rapids,KENT,(616) 606-2727,49505,6
AS330417844,HNRS Oakwood,ADULT SMALL GROUP HOME (CAPACITY 1-6),"2701 East Lansing Drive ",Lansing,INGHAM,(517) 332-1616,48823,6
AM390382663,Hoard Manor,ADULT MEDIUM GROUP HOME (CAPACITY 7-12),"305 West Cork Street ",Kalamazoo,KALAMAZOO,(269) 343-9726,49001,12
AM410014849,Holiday Drive AFC,ADULT MEDIUM GROUP HOME (CAPACITY 7-12),"2153 Holiday Drive, SW ",Wyoming,KENT,(616) 262-4705,49519-4236,12
AM730283056,Holland AFC,ADULT MEDIUM GROUP HOME (CAPACITY 7-12),"806 E. Holland ",Saginaw,SAGINAW,(989) 753-1101,48601,12
AL700419631,Holland Haven,ADULT LARGE GROUP HOME (CAPACITY 13-20),"12844 Renwood Dr ",Holland,OTTAWA,(920) 851-5685,49424,17
AL410383848,Holland Home - Breton Extended Care SOUTH 1.,ADULT LARGE GROUP HOME (CAPACITY 13-20),"2565 44th St., SE. ",Kentwood,KENT,(616) 643-2501,49512,20
AL410403561,Holland Home Breton Extended Care SOUTH 2,ADULT LARGE GROUP HOME (CAPACITY 13-20),"2505 44th St. ",Kentwood,KENT,(616) 643-2500,49512,20
AH410236821,Holland Home Raybrook Manor,HOMES FOR THE AGED,"2121 Raybrook Avenue, SE ",Grand Rapids,KENT,(616) 235-5002,49546-5793,236
AL410374262,Holland Home-Breton Extended Care CENTRE,ADULT LARGE GROUP HOME (CAPACITY 13-20),"2589 44th Street S.E. ",Grand Rapids,KENT,(616) 643-2500,49312,20
AF790006079,Hollister AFC Home,ADULT FAMILY HOME (CAPACITY 1-6),"3452 S Main Street ",Akron,TUSCOLA,(989) 691-5286,48701,5
AS630384567,Hollow Lake Home,ADULT SMALL GROUP HOME (CAPACITY 1-6),"10658 Big Lake Road ",Davisburg,OAKLAND,(313) 872-7826,48350,6
AM330338480,Holt Friendly Home,ADULT MEDIUM GROUP HOME (CAPACITY 7-12),"1365 Eifert Road ",Holt,INGHAM,(517) 694-4667,48842,12
AS330095304,Holt Road Home,ADULT SMALL GROUP HOME (CAPACITY 1-6),"5850 Holt Road ",Holt,INGHAM,(517) 694-0464,48842,6
AS500398140,Holy Family Living Center,ADULT SMALL GROUP HOME (CAPACITY 1-6),"2850 Parent Ave ",Warren,MACOMB,(586) 578-9526,48092,6
AF300311389,Home Away From Home,ADULT FAMILY HOME (CAPACITY 1-6),"4561 Oak Glen Drive ",Camden,HILLSDALE,(567) 239-9934,49232,3
AS730338751,Home Away From Home AFC,ADULT SMALL GROUP HOME (CAPACITY 1-6),"1122 Hoyt St. ",Saginaw,SAGINAW,(989) 213-2251,48601,6
AF440303255,"Home Away From Home, AFC",ADULT FAMILY HOME (CAPACITY 1-6),"9281 Graves Road ",Silverwood,LAPEER,(810) 358-2638,48760,3
AF110338351,Home Away Home,ADULT FAMILY HOME (CAPACITY 1-6),"420 South Main Street ",Berrien Springs,BERRIEN,(269) 815-5233,49103,6
AL820418702,Home For Mom And Dad II ALF LLC,ADULT LARGE GROUP HOME (CAPACITY 13-20),"39625 Plymouth Rd ",Plymouth Twp,WAYNE,(734) 272-9402,48170,20
AS410389803,Home Of Hearts,ADULT SMALL GROUP HOME (CAPACITY 1-6),"2115 Francis ",Grand Rapids,KENT,(616) 633-3953,49507,4
AL330391868,Homecrest Manor,ADULT LARGE GROUP HOME (CAPACITY 13-20),"412 N. Main Street ",Leslie,INGHAM,(517) 589-8259,49251,20
AL250331295,Homer House Inn,ADULT LARGE GROUP HOME (CAPACITY 13-20),"202 S Bridge Street ",Linden,GENESEE,(810) 735-9400,48451,20
AS130359802,Homer Road House,ADULT SMALL GROUP HOME (CAPACITY 1-6),"19030 Homer Rd. ",Marshall,CALHOUN,(269) 781-3648,49068,6
AF110389156,Homes of Heroes,ADULT FAMILY HOME (CAPACITY 1-6),"146 Eloise Drive ",Benton Harbor,BERRIEN,(269) 363-2791,49022,5
AS250419303,"HOMES Residential Care, LLC",ADULT SMALL GROUP HOME (CAPACITY 1-6),"3473 West Wilson ",Clio,GENESEE,(616) 914-3622,48420,6
AS820410172,HOMES Senior Living LLC,ADULT SMALL GROUP HOME (CAPACITY 1-6),"14250 Lenmoore Rd ",Van Buren TWP,WAYNE,(248) 719-6561,48111,6
AS630016029,Homestead Res Of Beverly Hills,ADULT SMALL GROUP HOME (CAPACITY 1-6),"16252 Elizabeth ",Beverly Hills,OAKLAND,(248) 839-5486,48025,6
AF390273822,Homestead South,ADULT FAMILY HOME (CAPACITY 1-6),"5152 Riverview Drive, N. ",Parchment,KALAMAZOO,(269) 290-8603,49004,6
AS630418908,Honi Senior Living,ADULT SMALL GROUP HOME (CAPACITY 1-6),"1059 Valleyview Drive ",Clarkston,OAKLAND,(313) 282-4337,48348,6
AM730009493,Hoornstra AFC Home,ADULT MEDIUM GROUP HOME (CAPACITY 7-12),"704 S Michigan ",Saginaw,SAGINAW,(989) 790-4679,48602,12
AF320394546,Hoovers Haven AFC,ADULT FAMILY HOME (CAPACITY 1-6),"7221 Pt Austin Rd ",Caseville,HURON,(989) 856-4173,48725,6
AF730281796,Hope AFC,ADULT FAMILY HOME (CAPACITY 1-6),"720 Hancock ",Saginaw,SAGINAW,(989) 790-3056,48602,6
AS130385077,Hope AFC,ADULT SMALL GROUP HOME (CAPACITY 1-6),"195 Kirkwood Avenue ",Springfield,CALHOUN,(269) 274-5271,49037,5
AS410418435,Hope And Care AFC LLC,ADULT SMALL GROUP HOME (CAPACITY 1-6),"6451 Hartman DR SE ",Caledonia,KENT,(616) 279-4893,49316,6
AS820408857,Hope Haven Assisted Living LLC,ADULT SMALL GROUP HOME (CAPACITY 1-6),"17251 Mayfield St ",Livonia,WAYNE,(847) 477-5801,48152,6
AS820259527,Hope Home,ADULT SMALL GROUP HOME (CAPACITY 1-6),"22949 Hollander ",Dearborn,WAYNE,(313) 561-9122,48128,6
AS410339288,Hope House,ADULT SMALL GROUP HOME (CAPACITY 1-6),"336 Thornridge Dr. NW ",Grand Rapids,KENT,(161) 655-0164,49504,6
AL380007055,Hope House I,ADULT LARGE GROUP HOME (CAPACITY 13-20),"1706 Second Street ",Jackson,JACKSON,(517) 784-7559,49203,16
AL380007059,Hope House II/Fowler House,ADULT LARGE GROUP HOME (CAPACITY 13-20),"400 Van Buren Street ",Jackson,JACKSON,(517) 784-1522,49201,16
AL230290825,Hope Landing,ADULT LARGE GROUP HOME (CAPACITY 13-20),"1252 N. Cochran Ave. ",Charlotte,EATON,(517) 541-9620,48813,20
AM230384111,Hope Landing - The Haven,ADULT MEDIUM GROUP HOME (CAPACITY 7-12),"1146 N. Cochran Avenue ",Charlotte,EATON,(517) 541-9620,48813,10
AS110397872,Hope Love & Grace,ADULT SMALL GROUP HOME (CAPACITY 1-6),"789 Pipestone ",Benton Harbor,BERRIEN,(269) 252-2070,49022,6
AM110401946,Hope Love & Grace,ADULT MEDIUM GROUP HOME (CAPACITY 7-12),"785 Pipestone ",Benton Harbor,BERRIEN,(269) 252-2070,49022,12
AS250410559,Hope Shores Linden Rd,ADULT SMALL GROUP HOME (CAPACITY 1-6),"12237 N. Linden Rd ",Clio,GENESEE,(810) 964-0412,48426,6
AS250395946,Hope Shores Maple,ADULT SMALL GROUP HOME (CAPACITY 1-6),"1383 E. Maple Ave ",Burton,GENESEE,(810) 964-0412,48529,6
AS250418941,"Hope Shores Stanley, LLC",ADULT SMALL GROUP HOME (CAPACITY 1-6),"7055 Stanley Rd ",Flushing,GENESEE,(810) 964-0412,48433,6
AS820419549,Hopeful Hills Home Care Center,ADULT SMALL GROUP HOME (CAPACITY 1-6),"11941 Amherst C ",Plymouth,WAYNE,(313) 434-8791,48170,6
AS740271028,Hopps,ADULT SMALL GROUP HOME (CAPACITY 1-6),"2720 Woodstock ",Port Huron,ST. CLAIR,(810) 987-1286,48060,6
AF630342386,Hopson CTH,ADULT FAMILY HOME (CAPACITY 1-6),"1734 Hickory Bark Lane ",Bloomfield,OAKLAND,(248) 514-4070,48304,6
AS090297031,Horizon Home,ADULT SMALL GROUP HOME (CAPACITY 1-6),"1717 Horizon Dr. ",Essexville,BAY,(989) 316-2200,48732,6
AS820094099,Horizon House,ADULT SMALL GROUP HOME (CAPACITY 1-6),"5565 Kensington ",Detroit,WAYNE,(313) 640-1965,48224,6
AM280272540,Horizon North AFC,ADULT MEDIUM GROUP HOME (CAPACITY 7-12),"668 S Airport ",Traverse City,GRAND TRAVERSE,(231) 941-5734,49686,12
AS410419206,Horminy Family,ADULT SMALL GROUP HOME (CAPACITY 1-6),"475 60th St ",Kentwood,KENT,(720) 416-6298,49548,6
AS410418239,Horminy Family LLC,ADULT SMALL GROUP HOME (CAPACITY 1-6),"2091 Palm Dale Dr Sw ",Wyoming,KENT,(720) 416-6298,49519,6
AS630283823,Horseshoe East Home,ADULT SMALL GROUP HOME (CAPACITY 1-6),"1649 Ray Road ",Oxford,OAKLAND,(248) 236-8649,48371,6
AS610419069,Horton,ADULT SMALL GROUP HOME (CAPACITY 1-6),"1231 Horton Road ",Muskegon,MUSKEGON,(231) 830-9376,49445,3
AS630256367,Horton Home,ADULT SMALL GROUP HOME (CAPACITY 1-6),"5130 Rose Hill Boulevard ",Holly,OAKLAND,(248) 634-5530,48442,5
AS730095623,Hospital Road Home,ADULT SMALL GROUP HOME (CAPACITY 1-6),"2730 Hospital Road ",Saginaw,SAGINAW,(989) 793-1940,48603,6
AS410314820,House 4,ADULT SMALL GROUP HOME (CAPACITY 1-6),"2375 Banner Dr. SW ",Wyoming,KENT,(616) 247-7861,49509,3
AS630380242,House Of Angels,ADULT SMALL GROUP HOME (CAPACITY 1-6),"2420 W Square Lake Rd ",Troy,OAKLAND,(248) 879-3245,48098,6
AS820281834,House of Grace,ADULT SMALL GROUP HOME (CAPACITY 1-6),"33006 Akron ",Westland,WAYNE,(734) 326-5843,48186,6
AS800401615,House Of Helping Hands AFC LLC,ADULT SMALL GROUP HOME (CAPACITY 1-6),"57501 County Rd 365 N ",Lawrence,VAN BUREN,(269) 674-3003,49064,6
AS730311600,House of Hope,ADULT SMALL GROUP HOME (CAPACITY 1-6),"4326 N Michigan ",Saginaw,SAGINAW,(989) 401-5222,48604,6
AS820286212,House of Marie Ephraim,ADULT SMALL GROUP HOME (CAPACITY 1-6),"20521 Westmoreland Rd. ",Detroit,WAYNE,(313) 362-7516,48219,5
AF620411154,House of Peace,ADULT FAMILY HOME (CAPACITY 1-6),"9570 12 Mile Rd. ",Big Rapids,NEWAYGO,(231) 660-3964,49307,3
AS230091383,House Of Ruth,ADULT SMALL GROUP HOME (CAPACITY 1-6),"625 Tirrell Highway ",Charlotte,EATON,(517) 420-3427,48813,6
AF500411402,House On The Hill,ADULT FAMILY HOME (CAPACITY 1-6),"6084 28 Mile Rd ",Washington,MACOMB,(586) 948-0591,48094,6
AS820294977,Houston Special Needs Center,ADULT SMALL GROUP HOME (CAPACITY 1-6),"3307 Houston ",Dearborn,WAYNE,(313) 278-2805,48124,6
AF780280506,Howard AFC #1,ADULT FAMILY HOME (CAPACITY 1-6),"523 N. Hickory Street ",Owosso,SHIAWASSEE,(989) 723-4420,48867,6
AM730419063,Howell's Group Home,ADULT MEDIUM GROUP HOME (CAPACITY 7-12),"3106 Walters Dr. ",Saginaw,SAGINAW,(989) 332-2291,48601,12
AS820014538,Hubbard,ADULT SMALL GROUP HOME (CAPACITY 1-6),"3188 Hubbard ",Wayne,WAYNE,(734) 721-0861,48184,6
AM310310003,Hubbell Haven AFC Home,ADULT MEDIUM GROUP HOME (CAPACITY 7-12),"27012 West 21st Street ",Hubbell,HOUGHTON,(906) 296-0041,49934,12
AS820257946,Hubbell Manor,ADULT SMALL GROUP HOME (CAPACITY 1-6),"6061 Hubbell ",Dearborn Heights,WAYNE,(248) 569-1040,48127,6
AL820398356,Hudson Home I Inc,ADULT LARGE GROUP HOME (CAPACITY 13-20),"750 Virginia Park ",Detroit,WAYNE,(313) 875-5499,48202,19
AL390412381,Hudson's Country Manor,ADULT LARGE GROUP HOME (CAPACITY 13-20),"9842 Oakland Drive ",Portage,KALAMAZOO,(269) 718-9040,49024,19
AF470003851,Hughes Care Home,ADULT FAMILY HOME (CAPACITY 1-6),"6035 Cedar Lake Road ",Pinckney,LIVINGSTON,(810) 599-8042,48169,5
AS820412946,Humanity Outreach,ADULT SMALL GROUP HOME (CAPACITY 1-6),"14927 Sorrento St. ",Detroit,WAYNE,(248) 677-6340,48227,5
AH610236822,Hume Home of Muskegon,HOMES FOR THE AGED,"1244 W Southern Avenue ",Muskegon,MUSKEGON,(231) 755-1715,49441-2271,34
AS630012593,Hunt Club House,ADULT SMALL GROUP HOME (CAPACITY 1-6),"25491 Hunt Club ",Farmington Hills,OAKLAND,(248) 933-7392,48335,6
AS790260598,Hunt Home,ADULT SMALL GROUP HOME (CAPACITY 1-6),"4645 Hunt Street ",Cass City,TUSCOLA,(989) 872-8746,48726,6
AS730077429,Hunter AFC,ADULT SMALL GROUP HOME (CAPACITY 1-6),"2312 Owen ",Saginaw,SAGINAW,(989) 755-5079,48601,5
AF440003589,Huntley Residence,ADULT FAMILY HOME (CAPACITY 1-6),P O Box 19 4130 Pleasant Street,North Branch,LAPEER,(810) 688-2526,48461,5
AS500418697,Hupp House Cares,ADULT SMALL GROUP HOME (CAPACITY 1-6),"8284 Hupp Ave. ",Warren,MACOMB,(586) 486-4040,48089,5
AS320379301,Hurford CLF,ADULT SMALL GROUP HOME (CAPACITY 1-6),"2199 Hurford Drive ",Ubly,HURON,(989) 631-6691,48475,6
AS520417605,Huron Home,ADULT SMALL GROUP HOME (CAPACITY 1-6),"2263 Huron Street ",Marquette,MARQUETTE,(906) 228-7370,49855,4
AS820412578,Huron River Home,ADULT SMALL GROUP HOME (CAPACITY 1-6),"901 West Huron River Dr. ",Belleville,WAYNE,(734) 686-9534,48111,6
